city,admin_name,capital,population
"Affton, United States",Missouri,,20035.0
"Afgooye, Somalia",Shabeellaha Hoose,minor,79400.0
"Afir, Algeria",Boumerdes,,13223.0
"Aflao, Ghana",Volta,,66546.0
"Aflou, Algeria",Laghouat,,102025.0
"Afmadow, Somalia",Jubbada Hoose,,90000.0
"Afogados da Ingazeira, Brazil",Pernambuco,minor,40241.0
"Afonso Bezerra, Brazil",Rio Grande do Norte,minor,10839.0
"Afonso Claudio, Brazil",Espírito Santo,minor,30455.0
"Afourar, Morocco",Béni Mellal-Khénifra,,20215.0
"Afragola, Italy",Campania,,61712.0
"Afranio, Brazil",Pernambuco,minor,18674.0
"Afsin, Turkey",Kahramanmaraş,minor,80044.0
"Afua, Brazil",Pará,minor,37765.0
"Afula, Israel",Northern,,60000.0
"Afumati, Romania",Ilfov,,8748.0
"Afyonkarahisar, Turkey",Afyonkarahisar,admin,251799.0
"Afzala, India",Bihār,,13475.0
"Afzalpur, India",Karnātaka,,27088.0
"Agadallanka, India",Andhra Pradesh,,8870.0
"Agadez, Niger",Agadez,admin,117770.0
"Agadi, India",Karnātaka,,11751.0
"Agadir, Morocco",Souss-Massa,admin,538000.0
"Agago, Uganda",Agago,admin,
"Agame, Benin",Couffo,,11465.0
"Agan, China",Gansu,,20985.0
"Agano, Japan",Niigata,,40382.0
"Agapa, Russia",Krasnoyarskiy Kray,,10.0
"Agar, India",Madhya Pradesh,,41193.0
"Agaram, India",Tamil Nādu,,16874.0
"Agareb, Tunisia",Sfax,,11513.0
"Agaro, Ethiopia",Oromīya,,25458.0
"Agarpur, India",Bihār,,18367.0
"Agartala, India",Tripura,admin,522613.0
"Agatogba, Benin",Mono,,9758.0
"Agawam, United States",Massachusetts,,28510.0
"Agbangnizoun, Benin",Zou,,55001.0
"Agblangandan, Benin",Ouémé,,30716.0
"Agboville, Côte d’Ivoire",Lagunes,minor,135082.0
"Agcabadi, Azerbaijan",Ağcabədi,admin,43000.0
"Agcogon, Philippines",Romblon,,11759.0
"Agdam, Azerbaijan",Ağdam,admin,3770.0
"Agdangan, Philippines",Quezon,minor,12764.0
"Agdas, Azerbaijan",Ağdaş,admin,29600.0
"Agde, France",Occitanie,,29612.0
"Agdz, Morocco",Drâa-Tafilalet,,11189.0
"Agege, Nigeria",Lagos,minor,683600.0
"Agen, France",Nouvelle-Aquitaine,minor,32193.0
"Ageoshimo, Japan",Saitama,,226616.0
"Aghbal, Morocco",Oriental,,16113.0
"Aghbala, Morocco",Béni Mellal-Khénifra,,13373.0
"Aghbalou Aqourar, Morocco",Fès-Meknès,,9715.0
"Aghbalou n'Kerdous, Morocco",Drâa-Tafilalet,,10675.0
"Agia Paraskevi, Greece",Attikí,minor,62147.0
"Agia Varvara, Greece",Attikí,minor,26759.0
"Agidel, Russia",Bashkortostan,minor,14219.0
"Aginiparru, India",Andhra Pradesh,,13283.0
"Aginskoye, Russia",Zabaykal’skiy Kray,minor,11491.0
"Agioi Anargyroi, Greece",Attikí,minor,32283.0
"Agios Athanasios, Cyprus",Lemesós,,14578.0
"Agios Dimitrios, Greece",Attikí,minor,71664.0
"Agios Ioannis Rentis, Greece",Attikí,,15411.0
"Agios Nikolaos, Greece",Kríti,minor,21562.0
"Agiripalle, India",Andhra Pradesh,,16150.0
"Agliana, Italy",Tuscany,,17934.0
"Aglipay, Philippines",Quirino,,30714.0
"Agno, Philippines",Pangasinan,,29947.0
"Agogo, Ghana",Ashanti,,36797.0
"Agoncillo, Philippines",Batangas,,39101.0
"Agoo, Philippines",La Union,,66028.0
"Agoue, Benin",Mono,,9589.0
"Agouna, Benin",Zou,,10763.0
"Agoura Hills, United States",California,,19881.0
"Agourai, Morocco",Fès-Meknès,,10033.0
"Agra, India",Uttar Pradesh,,1760285.0
"Agramonte, Cuba",Matanzas,,10502.0
"Agrate Brianza, Italy",Lombardy,,15547.0
"Agrestina, Brazil",Pernambuco,minor,23779.0
"Agri, Turkey",Ağrı,admin,148765.0
"Agrigento, Italy",Sicilia,minor,55512.0
"Agrinio, Greece",Dytikí Elláda,minor,50690.0
"Agropoli, Italy",Campania,,21262.0
"Agryz, Russia",Tatarstan,,19794.0
"Agstafa, Azerbaijan",Ağstafa,admin,20200.0
"Agsu, Azerbaijan",Ağsu,admin,20200.0
"Agua Azul do Norte, Brazil",Pará,minor,18080.0
"Agua Blanca Iturbide, Mexico",Hidalgo,,10313.0
"Agua Blanca, Guatemala",Jutiapa,minor,17765.0
"Agua Boa, Brazil",Minas Gerais,minor,12589.0
"Agua Branca, Brazil",Alagoas,minor,19008.0
"Agua Clara, Brazil",Mato Grosso do Sul,minor,16741.0
"Agua Doce, Brazil",Espírito Santo,minor,10909.0
"Agua Fria, Brazil",Bahia,minor,14497.0
"Agua Preta, Brazil",Pernambuco,minor,26461.0
"Agua Prieta, Mexico",Sonora,minor,91029.0
"Agua de Dios, Colombia",Cundinamarca,minor,13182.0
